--------------------2019-07-21 0:03:45----------------
--------------------2019/7/21 0:08:45----------------
--------------------2019/7/21 0:13:45----------------
--------------------2019/7/21 0:18:46----------------
--------------------2019/7/21 0:23:46----------------
915 : 118
916 : 4
923 : 6
919 : 7
22 : 237
922 : 129
804 : 1
805 : 1
--------------------2019/7/21 10:48:53----------------
708 : 4
52 : 8
960 : 2
100 : 19
10 : 489
629 : 352
11 : 3020
30 : 477
31 : 770
14 : 1038
53 : 765
622 : 5
44 : 518
34 : 153
200 : 5
610 : 195
32 : 46
641 : 4
636 : 4
638 : 251
611 : 79
20 : 1
633 : 4
634 : 4
801 : 4
656 : 1
900 : 4
13 : 33
657 : 68
17 : 152
642 : 1
630 : 3
3555 : 28
4470 : 1
915 : 518
916 : 10
923 : 63
919 : 61
925 : 1
922 : 153
804 : 3
805 : 2
--------------------2019/7/21 10:53:53----------------
1202 : 2
708 : 9
54 : 6
56 : 38
52 : 5
960 : 8
100 : 34
2821 : 4
10 : 624
201 : 2
629 : 367
11 : 1448
30 : 496
31 : 354
14 : 620
53 : 548
635 : 5
622 : 9
44 : 252
34 : 19
643 : 15
200 : 1
610 : 81
600 : 1
641 : 6
636 : 4
638 : 145
611 : 65
20 : 1
633 : 9
634 : 9
801 : 6
807 : 6
656 : 1
900 : 5
13 : 56
657 : 36
17 : 97
642 : 14
630 : 3
3555 : 20
911 : 1
915 : 252
916 : 7
923 : 40
919 : 56
202 : 8
922 : 121
906 : 1
805 : 1
23 : 2
--------------------2019/7/21 10:58:53----------------
708 : 1
54 : 1
52 : 4
960 : 2
100 : 145
10 : 734
629 : 300
11 : 1450
30 : 716
31 : 129
14 : 214
53 : 429
622 : 15
44 : 189
34 : 21
643 : 9
200 : 15
610 : 81
32 : 9
641 : 3
638 : 99
611 : 54
20 : 1
633 : 1
634 : 1
801 : 1
807 : 2
900 : 2
13 : 33
657 : 39
17 : 80
642 : 1
630 : 6
3555 : 16
915 : 189
916 : 3
919 : 1
202 : 3
3322 : 3
922 : 89
213 : 1
23 : 5
--------------------2019/7/21 11:03:53----------------
4010 : 1
4017 : 1
658 : 1
2953 : 1
1281 : 1
545 : 1
888 : 1
889 : 1
4230 : 1
4501 : 1
4500 : 1
4613 : 1
4615 : 1
4612 : 1
4628 : 1
4430 : 1
4431 : 1
4432 : 1
4636 : 1
1202 : 3
51 : 1
50 : 1
42 : 1
708 : 8
54 : 7
56 : 104
52 : 3
46 : 1
2820 : 1
960 : 9
3324 : 2
1264 : 1
3554 : 1
100 : 22
2821 : 8
10 : 98
201 : 2
629 : 92
11 : 190
30 : 20
31 : 66
14 : 53
53 : 217
635 : 1
622 : 15
44 : 12
34 : 2
643 : 38
200 : 9
2957 : 1
621 : 1
610 : 90
601 : 1
600 : 2
4469 : 5
641 : 15
636 : 8
638 : 68
611 : 13
211 : 1
653 : 1
633 : 7
634 : 7
801 : 7
807 : 4
897 : 1
656 : 1
899 : 1
898 : 1
900 : 4
902 : 1
904 : 1
644 : 1
13 : 6
657 : 23
17 : 53
642 : 4
3555 : 14
915 : 12
916 : 5
903 : 1
923 : 1
22 : 1
918 : 1
202 : 14
3322 : 7
925 : 1
922 : 59
716 : 34
--------------------2019/7/21 11:08:53----------------
708 : 17
54 : 10
56 : 60
52 : 2
100 : 6
2821 : 3
10 : 175
629 : 287
11 : 382
30 : 86
31 : 30
14 : 49
53 : 222
643 : 19
610 : 2
601 : 2
641 : 8
636 : 8
638 : 38
20 : 3
633 : 17
634 : 17
801 : 12
807 : 6
900 : 2
644 : 1
13 : 127
657 : 64
17 : 31
642 : 2
630 : 3
3555 : 16
916 : 2
22 : 10
922 : 31
--------------------2019/7/21 11:13:53----------------
708 : 10
52 : 4
100 : 26
10 : 79
629 : 317
11 : 270
30 : 48
31 : 67
14 : 6
53 : 440
44 : 4
34 : 2
610 : 51
32 : 1
641 : 10
636 : 10
638 : 133
611 : 11
633 : 10
634 : 10
801 : 10
13 : 115
657 : 77
17 : 65
3555 : 16
915 : 4
916 : 6
923 : 158
919 : 150
22 : 4
925 : 5
922 : 72
--------------------2019/7/21 11:18:53----------------
52 : 8
100 : 30
10 : 11
629 : 237
11 : 568
30 : 13
31 : 168
14 : 32
53 : 727
635 : 1
622 : 1
638 : 243
900 : 1
13 : 58
657 : 59
17 : 126
642 : 1
630 : 1
3555 : 22
916 : 11
923 : 251
919 : 242
22 : 17
925 : 7
922 : 100
639 : 4
--------------------2019/7/21 11:23:53----------------
708 : 11
52 : 6
960 : 1
100 : 36
10 : 39
629 : 258
11 : 324
30 : 17
31 : 160
14 : 27
53 : 619
622 : 10
44 : 6
34 : 3
200 : 10
610 : 60
32 : 2
641 : 11
636 : 11
638 : 203
611 : 28
633 : 11
634 : 11
801 : 11
900 : 1
13 : 71
657 : 58
17 : 108
630 : 1
3555 : 20
915 : 6
916 : 8
923 : 213
919 : 209
22 : 10
925 : 5
922 : 105
639 : 1
--------------------2019/7/21 11:28:53----------------
1202 : 3
52 : 4
960 : 1
100 : 19
10 : 33
201 : 2
629 : 218
11 : 443
30 : 24
31 : 88
14 : 1
53 : 513
635 : 9
622 : 14
44 : 2
34 : 1
200 : 5
610 : 74
32 : 1
638 : 217
611 : 58
900 : 2
13 : 6
657 : 31
17 : 121
3555 : 16
915 : 2
916 : 8
923 : 207
919 : 200
22 : 2
925 : 1
922 : 123
